
Date, Type, Description, Value, Balance, Account Name, Account Number

1/6/2019,BAC,"'Bank monthly incoming transaction 01",21.76,0.00,"'Envelope","'228822-99933422",
1/6/2019,BAC,"'Bank monthly outgoing transaction 01",-35.00,0.00,"'Envelope","'228822-99933422",
2/6/2019,BAC,"'Bank monthly incoming transaction 02",15.60,0.00,"'Envelope","'228822-99933422",
2/6/2019,BAC,"'Bank monthly outgoing transaction 02",-45.00,0.00,"'Envelope","'228822-99933422",
3/6/2019,BAC,"'Bank monthly incoming transaction 03",54.97,0.00,"'Envelope","'228822-99933422",
3/6/2019,BAC,"'Bank monthly outgoing transaction 03",-55.00,0.00,"'Envelope","'228822-99933422",
6/6/2019,BAC,"'Aubergine",-22.00,0.00,"'Envelope","'228822-99933422",
7/6/2019,BAC,"'Banana",-32.00,0.00,"'Envelope","'228822-99933422",
11/6/2019,BAC,"'BankOut transaction from ActualBank.csv",-44.00,0.00,"'Env","'2288",
12/6/2019,BAC,"'CREDIT CARD 1",-1000.00,0.00,"'Env","'2288",
13/6/2019,BAC,"'CREDIT CARD 2",-2000.00,0.00,"'Env","'2288",
10/6/2019,BAC,"'Cheese",222.00,0.00,"'Envelope","'228822-99933422",
11/6/2019,BAC,"'Doughnut Pumpernickel",333.00,0.00,"'Envelope","'228822-99933422",
11/6/2019,BAC,"'BankIn transaction from ActualBank.csv",444.00,0.00,"'Env","'2288",
